domain,ddg_join_ads,cookies,canvas_fingerprinters,session_recorders,key_logging,fb_pixel_events,ga,traffic_rank
https://dvhomemortgage.com/index.php,3,0,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.doorway.com/,5,2,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://dkmortgage.com/,6,0,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.emortgagecapital.com/,6,12,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.emmloans.com/,6,6,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.easternsavingsbank.com/,4,1,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://elementmortgage.com/,3,0,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.emeraldhomeloans.com/home,9,8,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.envoymortgage.com/,5,2,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.everlend.com.au/,5,4,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://fahe.org/,4,0,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.firstalliancehomemortgage.com/,6,6,FALSE,TRUE,FALSE,TRUE,TRUE,-1
https://www.firstclasscorp.com/,6,1,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.firstcommercefinancial.com/,3,0,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.ffbkc.com/,19,43,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.firstfed.com/,30,61,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.firststate.bank/,7,11,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://flatbranchhomeloans.com/,7,5,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://floridahl.com/,5,2,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.foundationmortgage.com/,18,36,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://frielgoodmortgage.com/,5,2,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://future.loans/,6,1,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.gflcapital.com/,3,0,FALSE,TRUE,FALSE,TRUE,FALSE,-1
https://gomortgage.com/,16,35,TRUE,TRUE,FALSE,TRUE,FALSE,-1
https://gardenstateloans.com/,6,13,FALSE,TRUE,FALSE,TRUE,TRUE,-1
https://givefinancing.com/,6,4,TRUE,FALSE,FALSE,TRUE,FALSE,-1
https://www.mygreenhomeloans.com/,3,1,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://grovescapital.com/,6,8,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.guardianmortgageonline.com/,5,0,FALSE,TRUE,FALSE,TRUE,TRUE,-1
https://hamiltonhomemortgage.com/,3,1,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.harmonyhomeloans.net/,2,0,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.heritagefinancial.com/,7,4,FALSE,FALSE,TRUE,TRUE,FALSE,-1
https://www.gethomefast.com/,6,8,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.hlemortgage.com/,9,4,FALSE,TRUE,FALSE,TRUE,TRUE,-1
https://www.homemortgageadvisors.com/,3,4,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.sweetloanalabama.com/,6,3,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://hometrustloans.com/,5,0,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://homefi.us/,5,1,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://homelend.net/,19,36,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.homelandlending.com/,19,36,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://homeseedloans.com/,5,0,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.homespiremortgage.com/,7,6,FALSE,TRUE,FALSE,TRUE,TRUE,-1
https://www.innovativemlo.com/,8,3,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://instamortgage.com/,6,9,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://integrityfirstloans.com/,6,4,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.integritylending.com/,15,25,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.interfirst.com/,9,14,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://interlincmortgage.com/,4,0,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://intercoastalmortgage.com/,16,26,FALSE,FALSE,TRUE,TRUE,TRUE,-1
https://interstatehomeloans.com/,5,1,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.ixoniabank.com/,8,10,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.jhmooreinc.com/,2,0,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://jrmortgagegroup.com/,4,0,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.jvmlending.com/,24,56,FALSE,TRUE,FALSE,TRUE,TRUE,-1
https://karbonfinancial.com/,6,2,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://laderalending.com/,5,1,FALSE,TRUE,FALSE,TRUE,FALSE,-1
https://www.lakestatemortgage.com/,3,0,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://landmarkmortgagecapital.com/,5,1,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.lendfriendmtg.com/,5,3,FALSE,TRUE,TRUE,TRUE,FALSE,-1
https://www.lendmire.com/,20,38,FALSE,TRUE,FALSE,TRUE,FALSE,-1
https://www.libertyhomemortgage.org/,5,1,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://libertylendingconsultants.com/,5,0,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://loansimple.com/,6,7,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://loanbidz.com/,6,2,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.loanflight.com/,4,3,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://lonestarfinancing.com/,6,3,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.goluminate.com/,3,0,FALSE,FALSE,FALSE,TRUE,FALSE,-1
